job_id,job_title,company,location,employment_type,experience_level,industry,skills_required,salary_min_usd,salary_max_usd,remote_allowed,posted_date
28,Data Scientist,Netflix,Berlin,Internship,Senior level,Technology,"Node.js, AWS, Java",93025,139542,FALSE,13-02-2024
29,Machine Learning Engineer,FinTechHub,Berlin,Internship,Entry level,E-commerce,"AWS, Python, Power BI, Docker",64208,131167,TRUE,09-02-2023
30,DevOps Engineer,Microsoft,Berlin,Contract,Entry level,Healthcare,"Excel, Docker, Azure, React, AWS",75825,133564,TRUE,16-06-2024
31,Software Engineer,Salesforce,London,Internship,Entry level,Healthcare,"JavaScript, Docker, Tableau, Data Visualization, Power BI",105108,164803,FALSE,16-07-2023
32,Product Manager,Adobe,Bangalore,Part-time,Entry level,Healthcare,"SQL, React, Tableau, JavaScript, Excel",107905,175859,FALSE,21-04-2024
33,Data Analyst,Google,Seattle,Internship,Entry level,E-commerce,"Node.js, Excel, Data Visualization, JavaScript, Docker, Kubernetes",76100,105413,FALSE,19-08-2023
34,Data Scientist,IBM,Seattle,Part-time,Director,Technology,"Node.js, React, SQL, Kubernetes",69342,80068,TRUE,07-09-2023
35,Full Stack Developer,Salesforce,Remote,Internship,Director,Finance,"Kubernetes, AWS, Tableau, JavaScript, Excel, React",119616,171204,FALSE,20-04-2024
36,Data Scientist,FinTechHub,London,Part-time,Senior level,Healthcare,"Node.js, Machine Learning, SQL, Java, Power BI",85992,153646,TRUE,02-09-2023
37,Data Scientist,IBM,Toronto,Contract,Director,E-commerce,"JavaScript, React, Docker",70028,108071,FALSE,28-01-2024
38,Full Stack Developer,Google,Berlin,Contract,Director,E-commerce,"Kubernetes, JavaScript, AWS, Docker",52560,112417,FALSE,21-08-2024
39,DevOps Engineer,FinTechHub,Austin,Internship,Mid level,Education,"Node.js, Docker, Data Visualization",100968,155025,TRUE,30-01-2023
40,Full Stack Developer,Amazon,New York,Contract,Director,Healthcare,"Kubernetes, Azure, React, Docker",106179,133965,FALSE,27-03-2023
41,Full Stack Developer,Google,Remote,Full-time,Senior level,Finance,"Tableau, Excel, Python",83065,103800,TRUE,07-03-2024
42,AI Researcher,Amazon,Seattle,Part-time,Director,Technology,"Kubernetes, Power BI, AWS, Azure",76130,88801,TRUE,11-09-2023
43,Data Scientist,Salesforce,New York,Contract,Director,E-commerce,"SQL, Data Visualization, Power BI, Excel",71465,122233,TRUE,28-04-2023
44,AI Researcher,Google,Berlin,Internship,Senior level,Technology,"Python, React, Docker, Kubernetes, SQL",89529,115395,FALSE,15-04-2023
45,DevOps Engineer,Amazon,Remote,Contract,Director,E-commerce,"React, Power BI, Data Visualization, AWS, Azure, JavaScript",110258,140310,TRUE,06-01-2024
46,Full Stack Developer,Salesforce,Toronto,Contract,Entry level,E-commerce,"Java, Kubernetes, JavaScript, Azure, AWS",109087,151050,FALSE,13-10-2023
47,Marketing Analyst,Meta,San Francisco,Part-time,Director,E-commerce,"Power BI, Kubernetes, Excel, Node.js",86211,97541,FALSE,14-10-2023
48,Business Analyst,Meta,Toronto,Part-time,Senior level,Education,"Kubernetes, Machine Learning, React, Azure, Docker",52260,74456,FALSE,03-04-2024
49,Business Analyst,Netflix,Seattle,Full-time,Mid level,Healthcare,"Power BI, Machine Learning, Tableau",109473,154982,TRUE,27-12-2023
50,Business Analyst,FinTechHub,Remote,Contract,Entry level,Finance,"JavaScript, Azure, Java, AWS, Python",78361,151825,TRUE,16-07-2023
51,Marketing Analyst,Netflix,Austin,Internship,Entry level,Technology,"Kubernetes, Node.js, React, Azure, Java",55965,73111,TRUE,08-10-2023
52,Data Scientist,IBM,Bangalore,Full-time,Entry level,Finance,"Tableau, Data Visualization, AWS, SQL",112616,137569,TRUE,16-09-2023
53,Marketing Analyst,IBM,Bangalore,Internship,Senior level,Education,"AWS, Data Visualization, React, Python, Tableau, SQL",104548,144129,TRUE,02-05-2023
54,Software Engineer,Meta,Austin,Full-time,Mid level,Technology,"Kubernetes, Power BI, Data Visualization, Node.js, AWS, Python",84687,105328,TRUE,05-08-2023
55,Data Scientist,StartupX,Seattle,Contract,Mid level,E-commerce,"Machine Learning, JavaScript, Excel",87056,156566,TRUE,23-10-2023
56,Data Analyst,Amazon,London,Contract,Director,Technology,"Power BI, AWS, Node.js, Docker, React, Machine Learning",68643,88002,FALSE,30-09-2023
57,DevOps Engineer,FinTechHub,Berlin,Contract,Entry level,Technology,"Excel, React, Data Visualization, Tableau",60543,75767,TRUE,24-03-2024
58,Full Stack Developer,Adobe,Bangalore,Contract,Mid level,Education,"Excel, React, Kubernetes, SQL, Tableau, Azure",55273,88235,FALSE,03-10-2023
59,Software Engineer,Tesla,Toronto,Internship,Senior level,E-commerce,"Kubernetes, SQL, Azure",92081,115791,FALSE,08-12-2023
60,Marketing Analyst,Google,Remote,Internship,Director,Technology,"Machine Learning, Azure, Data Visualization, Kubernetes",65194,128170,FALSE,28-11-2023
61,Marketing Analyst,Amazon,London,Internship,Director,Technology,"Excel, Data Visualization, Tableau",76680,121683,TRUE,22-02-2023
62,Marketing Analyst,IBM,San Francisco,Part-time,Entry level,E-commerce,"Excel, React, Java",90730,102522,FALSE,12-06-2023
63,DevOps Engineer,Oracle,Bangalore,Part-time,Director,Education,"Docker, JavaScript, Data Visualization, Machine Learning",116698,162536,TRUE,26-10-2023
64,Machine Learning Engineer,Adobe,London,Full-time,Senior level,Healthcare,"React, Java, Kubernetes, Machine Learning, Tableau, Azure",86208,150595,FALSE,13-03-2023
65,Machine Learning Engineer,Meta,Seattle,Internship,Mid level,E-commerce,"Azure, Power BI, Kubernetes",99441,169123,FALSE,19-07-2024
66,Data Analyst,Amazon,Remote,Contract,Entry level,E-commerce,"Machine Learning, Kubernetes, Python",69936,144859,TRUE,31-01-2024
67,Full Stack Developer,Netflix,Berlin,Internship,Entry level,Healthcare,"Azure, Excel, Power BI, Kubernetes, Machine Learning, Python",70232,90039,TRUE,24-02-2024
68,Data Scientist,IBM,San Francisco,Full-time,Director,Finance,"Node.js, Python, React, Azure, Tableau",87667,127484,FALSE,29-08-2023
69,Software Engineer,Meta,Remote,Internship,Mid level,Finance,"SQL, Data Visualization, Docker, React",99131,165581,TRUE,03-01-2024
70,Full Stack Developer,StartupX,London,Internship,Senior level,Technology,"Node.js, AWS, Excel, Machine Learning, Java, SQL",68758,109191,FALSE,24-05-2024
71,Business Analyst,Oracle,London,Part-time,Director,E-commerce,"JavaScript, Docker, Data Visualization",89210,154825,FALSE,20-12-2023
72,Data Analyst,StartupX,Toronto,Contract,Entry level,Education,"Node.js, Data Visualization, Power BI",88780,137476,FALSE,11-08-2024
73,Product Manager,StartupX,Seattle,Contract,Mid level,Technology,"AWS, Tableau, Kubernetes",80162,136341,TRUE,21-10-2023
74,Data Scientist,Netflix,Berlin,Internship,Mid level,Finance,"Tableau, Machine Learning, Azure, React",97823,125047,FALSE,16-08-2024
75,Business Analyst,FinTechHub,Berlin,Full-time,Director,Technology,"Tableau, JavaScript, Excel, Power BI",83681,156837,FALSE,18-06-2023
76,DevOps Engineer,Google,London,Full-time,Director,Healthcare,"Data Visualization, Docker, Excel, Azure, SQL",97942,119778,TRUE,24-07-2024
77,AI Researcher,Meta,San Francisco,Internship,Senior level,E-commerce,"Java, Python, React",53280,106272,FALSE,27-04-2024
78,Product Manager,Adobe,Austin,Internship,Director,Healthcare,"Data Visualization, Power BI, React, Java, Docker, SQL",65220,87959,FALSE,19-05-2024
79,Machine Learning Engineer,Meta,Bangalore,Internship,Mid level,Healthcare,"Excel, Azure, Machine Learning",86666,100954,FALSE,22-02-2024
80,Product Manager,Microsoft,Bangalore,Full-time,Mid level,Education,"Python, Tableau, Azure",102184,148344,TRUE,04-03-2023
81,Marketing Analyst,Meta,Seattle,Part-time,Senior level,Finance,"AWS, React, Java",76896,95888,TRUE,09-05-2023
82,Data Scientist,StartupX,New York,Part-time,Entry level,Healthcare,"Data Visualization, Azure, Python, Java",82853,115724,FALSE,07-07-2024
83,Marketing Analyst,Microsoft,San Francisco,Internship,Director,Healthcare,"Kubernetes, Machine Learning, JavaScript",66614,131790,TRUE,23-02-2023
84,Data Analyst,Google,Bangalore,Internship,Director,Technology,"Power BI, Kubernetes, SQL, Tableau, Azure, Data Visualization",89535,159571,TRUE,17-06-2024
85,AI Researcher,StartupX,Remote,Contract,Director,Education,"Kubernetes, Machine Learning, Data Visualization, Docker, SQL",66540,112586,TRUE,09-03-2023
86,Full Stack Developer,Meta,Toronto,Contract,Director,E-commerce,"Power BI, SQL, Azure, Docker, Tableau, AWS",78183,144553,FALSE,18-07-2024
87,Data Scientist,Microsoft,San Francisco,Internship,Entry level,Healthcare,"Machine Learning, Python, Data Visualization, Node.js",112163,130962,FALSE,06-06-2023
88,DevOps Engineer,FinTechHub,New York,Contract,Senior level,Healthcare,"Data Visualization, Machine Learning, JavaScript",103845,160191,TRUE,06-05-2023
89,Machine Learning Engineer,Adobe,Berlin,Full-time,Senior level,Education,"Tableau, Docker, Machine Learning, Data Visualization",79392,103576,TRUE,08-05-2024
90,Business Analyst,FinTechHub,London,Contract,Senior level,Technology,"React, Java, Data Visualization, Excel",53794,87441,FALSE,01-10-2023
91,Data Scientist,FinTechHub,Remote,Part-time,Director,E-commerce,"Azure, Java, Node.js, AWS, Tableau, Data Visualization",68595,82613,TRUE,13-03-2023
92,AI Researcher,Google,San Francisco,Contract,Director,E-commerce,"Data Visualization, Kubernetes, Docker, AWS, JavaScript, Machine Learning",70392,101024,TRUE,23-02-2023
93,Business Analyst,StartupX,Bangalore,Contract,Entry level,Finance,"Data Visualization, Python, React, JavaScript, AWS, Power BI",106349,130883,TRUE,20-12-2023
94,Data Scientist,Google,Bangalore,Internship,Mid level,Finance,"Machine Learning, Power BI, JavaScript, Node.js, React, Azure",87938,140945,TRUE,19-09-2023
95,Data Analyst,Oracle,San Francisco,Contract,Director,Education,"Power BI, Excel, Docker, AWS, SQL, Tableau",55544,122720,TRUE,11-02-2024
96,Machine Learning Engineer,Microsoft,Toronto,Full-time,Mid level,E-commerce,"Machine Learning, SQL, Docker, AWS, Azure, JavaScript",72527,142832,FALSE,29-11-2023
97,Data Scientist,Adobe,Remote,Part-time,Senior level,Healthcare,"JavaScript, SQL, Java, AWS",60011,136921,TRUE,22-06-2023
98,Software Engineer,StartupX,Bangalore,Internship,Director,Education,"React, Excel, Azure, Java, Kubernetes",70036,89912,TRUE,27-06-2023
99,Business Analyst,Salesforce,New York,Contract,Entry level,Healthcare,"Kubernetes, Python, React, Azure, AWS, SQL",107961,157652,TRUE,25-04-2024
100,AI Researcher,Adobe,New York,Internship,Mid level,Healthcare,"Machine Learning, Java, Python, Kubernetes, SQL, Azure",100394,171042,TRUE,03-06-2024
101,Product Manager,FinTechHub,Bangalore,Internship,Mid level,Healthcare,"Node.js, AWS, Docker, Tableau, Azure",72617,87747,TRUE,31-05-2024
102,Data Scientist,Adobe,Toronto,Contract,Senior level,Education,"Azure, SQL, Data Visualization, Excel",58639,111852,TRUE,09-12-2023
103,Software Engineer,Salesforce,San Francisco,Contract,Director,Healthcare,"Excel, Power BI, React, Node.js",90662,152036,TRUE,25-12-2023
104,Data Analyst,Tesla,London,Part-time,Mid level,Healthcare,"JavaScript, Node.js, Java, Tableau, SQL, AWS",116648,174073,TRUE,09-03-2024
105,Machine Learning Engineer,Salesforce,Austin,Internship,Mid level,Finance,"React, Power BI, Tableau, Data Visualization",119013,133960,TRUE,03-06-2024
106,Machine Learning Engineer,StartupX,Seattle,Internship,Senior level,E-commerce,"Machine Learning, JavaScript, AWS, Kubernetes",55726,119578,TRUE,24-03-2024
107,Business Analyst,IBM,Remote,Internship,Mid level,Finance,"React, AWS, Python, Excel",107749,178262,FALSE,12-01-2024
108,Data Scientist,Netflix,San Francisco,Part-time,Senior level,E-commerce,"React, Docker, SQL, JavaScript",63446,141067,FALSE,16-01-2024
109,Data Analyst,IBM,Remote,Contract,Mid level,E-commerce,"Azure, JavaScript, Python",53495,117876,FALSE,24-12-2023
110,Software Engineer,Google,London,Internship,Mid level,E-commerce,"Data Visualization, Python, SQL, React, AWS, JavaScript",93947,123089,TRUE,12-04-2023
111,Data Scientist,Netflix,Seattle,Contract,Entry level,Technology,"Docker, Excel, Tableau, Data Visualization",119176,184652,FALSE,15-07-2024
112,AI Researcher,Adobe,New York,Part-time,Mid level,Healthcare,"Python, Data Visualization, Azure, JavaScript, React, Docker",64530,140043,TRUE,06-03-2023
113,Data Scientist,Adobe,Remote,Full-time,Director,E-commerce,"Excel, Docker, Azure",118614,175879,FALSE,29-03-2023
114,Machine Learning Engineer,Meta,San Francisco,Contract,Mid level,Technology,"Machine Learning, Azure, Excel, Java, Tableau",96805,115660,FALSE,17-01-2023
115,Data Scientist,FinTechHub,Bangalore,Full-time,Senior level,Finance,"Tableau, JavaScript, Python",73891,101566,FALSE,05-05-2024
116,Marketing Analyst,Oracle,London,Full-time,Mid level,Healthcare,"React, Tableau, Python, Excel, Azure",117552,179748,FALSE,14-11-2023
117,DevOps Engineer,FinTechHub,Bangalore,Internship,Senior level,Finance,"Power BI, Kubernetes, Azure, Machine Learning, AWS, SQL",98237,165509,FALSE,08-05-2023
118,Marketing Analyst,Netflix,Berlin,Full-time,Entry level,Healthcare,"AWS, Kubernetes, Data Visualization, Power BI, Docker",106440,140092,TRUE,22-03-2023
119,Data Analyst,FinTechHub,Berlin,Internship,Senior level,Technology,"Excel, Node.js, Docker",96077,164683,FALSE,30-03-2024
120,Software Engineer,Salesforce,Bangalore,Full-time,Mid level,Technology,"Tableau, Excel, Azure, Node.js",70969,85050,FALSE,09-06-2024
121,Full Stack Developer,Tesla,Berlin,Internship,Entry level,Education,"Machine Learning, Azure, Docker, React",54244,84355,FALSE,03-08-2024
122,Software Engineer,Oracle,Remote,Internship,Entry level,Healthcare,"Power BI, Kubernetes, JavaScript, Data Visualization, AWS",64869,78265,FALSE,13-09-2023
123,Data Scientist,Oracle,Austin,Internship,Entry level,Healthcare,"Power BI, SQL, Machine Learning, Tableau, AWS",66074,93864,FALSE,24-07-2023
124,Marketing Analyst,Meta,San Francisco,Part-time,Mid level,Finance,"Python, Azure, Machine Learning, Data Visualization, React, Kubernetes",72818,130199,TRUE,11-06-2023
125,DevOps Engineer,FinTechHub,Bangalore,Internship,Director,Education,"Java, Azure, Excel",58617,109156,TRUE,30-03-2023
126,Machine Learning Engineer,Amazon,Remote,Part-time,Mid level,E-commerce,"React, SQL, Machine Learning",111057,188868,TRUE,05-04-2024
127,Machine Learning Engineer,FinTechHub,Seattle,Contract,Senior level,Technology,"JavaScript, Excel, Machine Learning, AWS, Java",71581,102810,FALSE,08-11-2023
128,Software Engineer,Salesforce,Austin,Part-time,Senior level,Education,"React, Node.js, Python",62245,138118,TRUE,30-06-2024
129,AI Researcher,IBM,New York,Internship,Senior level,Healthcare,"JavaScript, Tableau, React, Excel, Docker, AWS",84688,122319,FALSE,16-02-2023
130,Full Stack Developer,IBM,Bangalore,Internship,Mid level,Healthcare,"Azure, React, Power BI, Node.js",57852,88571,FALSE,16-03-2023
131,Marketing Analyst,Adobe,San Francisco,Contract,Mid level,E-commerce,"AWS, Kubernetes, JavaScript",67139,125706,TRUE,13-02-2024
132,DevOps Engineer,Salesforce,Toronto,Part-time,Mid level,Healthcare,"JavaScript, Tableau, Java, Kubernetes, Machine Learning",56632,104670,FALSE,10-04-2023
133,Data Analyst,Microsoft,Toronto,Internship,Mid level,Finance,"Python, Node.js, AWS, Kubernetes, Data Visualization",90441,165632,FALSE,25-05-2024
134,DevOps Engineer,Amazon,London,Contract,Director,Healthcare,"Docker, Python, Data Visualization",51071,75160,TRUE,20-10-2023
135,DevOps Engineer,Adobe,Bangalore,Contract,Entry level,Finance,"Docker, Azure, Tableau",87827,107464,FALSE,07-01-2024
136,Product Manager,Salesforce,Remote,Internship,Entry level,Technology,"Java, Power BI, Azure",97920,126829,FALSE,25-07-2024
137,AI Researcher,Adobe,Austin,Contract,Senior level,Finance,"Data Visualization, Power BI, AWS, Node.js, Azure, Machine Learning",109898,139419,FALSE,15-06-2024
138,Data Analyst,Tesla,Berlin,Full-time,Director,Education,"Tableau, Power BI, React, Excel, Python",89294,161539,FALSE,30-07-2024
139,AI Researcher,Oracle,Austin,Internship,Mid level,Finance,"Data Visualization, Power BI, SQL",79824,96555,TRUE,29-09-2023
140,DevOps Engineer,Amazon,Toronto,Part-time,Director,Education,"React, Node.js, Power BI, Tableau, Python, Java",107807,158923,TRUE,20-01-2023
141,Marketing Analyst,IBM,Berlin,Part-time,Director,Education,"Machine Learning, Azure, Excel, Power BI, Tableau",92604,165305,FALSE,28-07-2024
142,Business Analyst,Adobe,London,Part-time,Senior level,Healthcare,"Power BI, Node.js, Kubernetes, Azure",75200,117511,FALSE,10-05-2024
143,Data Scientist,Salesforce,Remote,Internship,Director,Healthcare,"AWS, Python, Node.js, Power BI",85842,133563,TRUE,24-12-2023
144,Full Stack Developer,Meta,Seattle,Contract,Senior level,Finance,"Data Visualization, Power BI, Node.js",107983,151595,TRUE,21-12-2023
145,Product Manager,StartupX,Seattle,Full-time,Entry level,E-commerce,"Power BI, Kubernetes, SQL, Excel, Java",56653,136257,TRUE,06-09-2023
146,Full Stack Developer,Oracle,Seattle,Contract,Senior level,Healthcare,"Node.js, Tableau, SQL",70701,134035,TRUE,17-07-2024
147,DevOps Engineer,Amazon,New York,Internship,Director,Finance,"Node.js, Python, React, AWS, Data Visualization",54888,87834,TRUE,01-07-2024
148,Marketing Analyst,Adobe,Bangalore,Part-time,Director,Healthcare,"Tableau, SQL, Azure, Java",87298,156850,FALSE,10-12-2023
149,Machine Learning Engineer,Netflix,Seattle,Part-time,Director,E-commerce,"SQL, Docker, Excel, Node.js, Java",74405,86251,TRUE,21-09-2023
150,Data Analyst,Netflix,Toronto,Part-time,Director,Healthcare,"AWS, Data Visualization, Power BI, React, Python",92415,134927,FALSE,03-05-2024
151,Data Scientist,Oracle,London,Part-time,Director,Education,"Power BI, SQL, Excel, AWS, Azure",80972,99114,TRUE,04-01-2024
152,Software Engineer,Oracle,Berlin,Internship,Director,Education,"Tableau, JavaScript, Excel, Data Visualization",67507,140183,TRUE,13-08-2023
153,Machine Learning Engineer,Microsoft,San Francisco,Full-time,Mid level,Education,"Java, Azure, Machine Learning, Kubernetes",108556,187784,TRUE,22-06-2024
154,Marketing Analyst,Oracle,New York,Internship,Mid level,Education,"Kubernetes, Data Visualization, Python, Machine Learning, Node.js, AWS",114071,135990,TRUE,30-07-2023
155,Product Manager,Salesforce,San Francisco,Full-time,Director,Healthcare,"Machine Learning, Python, SQL",83352,93747,FALSE,10-02-2024
156,Software Engineer,Amazon,Toronto,Contract,Director,E-commerce,"Docker, SQL, Excel, Tableau, Machine Learning, Java",87629,151220,FALSE,02-02-2023
157,Marketing Analyst,Amazon,Seattle,Full-time,Entry level,Healthcare,"Excel, Power BI, Machine Learning, Docker, Tableau, React",73392,134910,TRUE,02-05-2023
158,Software Engineer,Netflix,Seattle,Full-time,Entry level,E-commerce,"JavaScript, Node.js, SQL",110375,165746,TRUE,11-09-2023
159,Product Manager,FinTechHub,New York,Internship,Director,Finance,"Tableau, React, Node.js, Python",108515,124895,TRUE,04-02-2023
160,AI Researcher,Tesla,Berlin,Part-time,Senior level,Finance,"Docker, AWS, React, Python",87914,128606,TRUE,30-05-2024
161,Machine Learning Engineer,StartupX,Toronto,Contract,Director,E-commerce,"AWS, Docker, Java, Machine Learning",114962,131107,FALSE,13-03-2024
162,Software Engineer,Oracle,New York,Internship,Director,Education,"Docker, JavaScript, AWS, React",79536,128954,FALSE,04-09-2023
163,Data Scientist,Adobe,Seattle,Full-time,Senior level,E-commerce,"React, SQL, JavaScript",108954,167591,TRUE,22-03-2023
164,Business Analyst,Google,Seattle,Part-time,Entry level,E-commerce,"Power BI, Data Visualization, Node.js, JavaScript",77379,131021,FALSE,05-05-2024
165,DevOps Engineer,Oracle,Remote,Contract,Senior level,Healthcare,"Machine Learning, Kubernetes, React, SQL, Tableau",92154,139255,FALSE,03-09-2023
166,DevOps Engineer,Google,Seattle,Part-time,Entry level,Healthcare,"AWS, Java, JavaScript, Azure, Tableau, Docker",98589,149604,TRUE,28-07-2023
167,Full Stack Developer,FinTechHub,Bangalore,Internship,Mid level,Healthcare,"Java, Power BI, Machine Learning, Kubernetes",94245,137973,TRUE,26-05-2024
168,Data Analyst,Microsoft,New York,Full-time,Director,Finance,"SQL, Power BI, Java, Python",57698,136372,TRUE,09-07-2024
169,Data Analyst,Salesforce,Bangalore,Internship,Entry level,Technology,"Python, Node.js, Machine Learning, Power BI, AWS, Tableau",109770,168686,FALSE,01-06-2024
170,Software Engineer,Microsoft,San Francisco,Part-time,Mid level,Finance,"React, Azure, AWS, Docker, SQL",115826,182262,FALSE,18-01-2023
171,Product Manager,Netflix,San Francisco,Full-time,Entry level,E-commerce,"Docker, Machine Learning, Kubernetes, Python, Excel, Power BI",110161,152038,TRUE,20-02-2024
172,Machine Learning Engineer,Salesforce,San Francisco,Full-time,Mid level,Finance,"AWS, Python, SQL, Excel, Node.js, Machine Learning",115517,182390,TRUE,26-03-2023
173,Product Manager,Salesforce,Austin,Internship,Entry level,Healthcare,"Data Visualization, JavaScript, Node.js, Docker",91220,103272,FALSE,03-07-2023
174,Marketing Analyst,FinTechHub,Berlin,Full-time,Entry level,E-commerce,"React, SQL, Azure, Data Visualization",68343,88622,FALSE,29-01-2024
175,Full Stack Developer,Oracle,Seattle,Contract,Director,E-commerce,"Excel, Data Visualization, Node.js, Docker",53883,99708,TRUE,01-12-2023
176,Data Scientist,Netflix,Austin,Internship,Mid level,E-commerce,"Azure, SQL, React, Python, AWS",82302,101936,FALSE,30-10-2023
177,Software Engineer,Microsoft,Austin,Internship,Director,Education,"SQL, Python, Node.js, Azure, Machine Learning, Tableau",85358,108757,FALSE,04-01-2024
178,DevOps Engineer,IBM,San Francisco,Part-time,Mid level,E-commerce,"Java, AWS, React, Tableau",51617,99870,FALSE,30-01-2024
179,DevOps Engineer,Netflix,Toronto,Contract,Director,Technology,"AWS, JavaScript, Power BI, Excel, Kubernetes",58292,90208,TRUE,30-05-2023
180,Business Analyst,Google,Toronto,Contract,Director,Healthcare,"Azure, Docker, Excel, Data Visualization, Java, AWS",64021,91779,FALSE,13-04-2024
181,Software Engineer,IBM,Berlin,Contract,Director,Education,"Azure, Docker, AWS, React",112784,163964,FALSE,25-07-2023
182,Marketing Analyst,Google,Bangalore,Part-time,Director,Healthcare,"React, Node.js, Tableau",76188,109771,FALSE,27-04-2023
183,Product Manager,Netflix,Austin,Internship,Director,Technology,"Data Visualization, Kubernetes, Node.js, Docker, Machine Learning, Excel",68242,117934,FALSE,26-05-2024
184,Marketing Analyst,Salesforce,San Francisco,Full-time,Mid level,Healthcare,"Excel, Data Visualization, Python, React",54818,111942,FALSE,10-07-2024
185,Data Analyst,Microsoft,London,Part-time,Mid level,E-commerce,"Docker, Kubernetes, Tableau, Excel, Data Visualization",106420,130306,TRUE,06-12-2023
186,Data Scientist,Netflix,Toronto,Full-time,Entry level,Finance,"AWS, Azure, Kubernetes, JavaScript, Machine Learning",53219,126496,FALSE,20-12-2023
187,Full Stack Developer,FinTechHub,Bangalore,Contract,Entry level,Healthcare,"Tableau, Power BI, SQL",112411,135206,TRUE,23-12-2023
188,Product Manager,Adobe,Austin,Part-time,Senior level,Education,"Kubernetes, JavaScript, Tableau, Docker, Excel, Java",64334,95876,TRUE,18-12-2023
189,AI Researcher,Meta,Bangalore,Internship,Director,Technology,"JavaScript, AWS, Tableau, Power BI",101849,115675,TRUE,18-03-2024
190,Machine Learning Engineer,Tesla,Seattle,Internship,Entry level,Healthcare,"Machine Learning, Excel, Azure, Data Visualization, Docker, Power BI",63336,97841,FALSE,14-08-2024
191,Full Stack Developer,Salesforce,Austin,Contract,Entry level,Finance,"SQL, JavaScript, AWS, Node.js, Java",95603,151738,FALSE,27-04-2023
